"report_type","fiscal_period","filing_date","correction_flag","pair_status","pdf_file_name","xbrl_zip_file_name","financial_excel_file_name","pdf_exists","xbrl_exists","financial_excel_exists","status_logic_pass","all_referenced_files_exist"
"반기보고서","2006H1","20060814","N","PDF_ONLY","DART_064350_현대로템_2006H1_반기보고서_20060814.pdf","","","True","False","False","True","True"
"분기보고서","2016Q1","20160516","N","PDF_ONLY","DART_064350_현대로템_2016Q1_분기보고서_20160516.pdf","","DART_064350_현대로템_2016Q1_분기보고서_재무제표_20160516.xls","True","False","True","True","True"
"분기보고서","2021Q1","20210517","N","PDF_XBRL_PAIR","DART_064350_현대로템_2021Q1_분기보고서_20210517.pdf","DART_064350_현대로템_2021Q1_분기보고서_원문XBRL_20210517.zip","DART_064350_현대로템_2021Q1_분기보고서_재무제표_20210517.xls","True","True","True","True","True"
"사업보고서","2021FY","20210602","Y","PDF_XBRL_PAIR","DART_064350_현대로템_2021FY_사업보고서_정정_20210602.pdf","DART_064350_현대로템_2021FY_사업보고서_원문XBRL_정정_20210602.zip","DART_064350_현대로템_2021FY_사업보고서_재무제표_정정_20210602.xls","True","True","True","True","True"
"반기보고서","2021H1","20210817","N","PDF_XBRL_PAIR","DART_064350_현대로템_2021H1_반기보고서_20210817.pdf","DART_064350_현대로템_2021H1_반기보고서_원문XBRL_20210817.zip","DART_064350_현대로템_2021H1_반기보고서_재무제표_20210817.xls","True","True","True","True","True"
"분기보고서","2021Q3","20211115","N","PDF_XBRL_PAIR","DART_064350_현대로템_2021Q3_분기보고서_20211115.pdf","DART_064350_현대로템_2021Q3_분기보고서_원문XBRL_20211115.zip","DART_064350_현대로템_2021Q3_분기보고서_재무제표_20211115.xls","True","True","True","True","True"
"사업보고서","2021FY","20220315","N","XBRL_ONLY","","DART_064350_현대로템_2021FY_사업보고서_원문XBRL_20220315.zip","DART_064350_현대로템_2021FY_사업보고서_재무제표_20220315.xls","False","True","True","True","True"
"분기보고서","2022Q1","20220516","N","PDF_XBRL_PAIR","DART_064350_현대로템_2022Q1_분기보고서_20220516.pdf","DART_064350_현대로템_2022Q1_분기보고서_원문XBRL_20220516.zip","DART_064350_현대로템_2022Q1_분기보고서_재무제표_20220516.xls","True","True","True","True","True"
"반기보고서","2022H1","20220816","N","XBRL_ONLY","","DART_064350_현대로템_2022H1_반기보고서_원문XBRL_20220816.zip","DART_064350_현대로템_2022H1_반기보고서_재무제표_20220816.xls","False","True","True","True","True"
"분기보고서","2022Q3","20221114","N","PDF_XBRL_PAIR","DART_064350_현대로템_2022Q3_분기보고서_20221114.pdf","DART_064350_현대로템_2022Q3_분기보고서_원문XBRL_20221114.zip","DART_064350_현대로템_2022Q3_분기보고서_재무제표_20221114.xls","True","True","True","True","True"
"사업보고서","2022FY","20230310","N","PDF_XBRL_PAIR","DART_064350_현대로템_2022FY_사업보고서_20230310.pdf","DART_064350_현대로템_2022FY_사업보고서_원문XBRL_20230310.zip","DART_064350_현대로템_2022FY_사업보고서_재무제표_20230310.xls","True","True","True","True","True"
"분기보고서","2023Q1","20230515","N","PDF_XBRL_PAIR","DART_064350_현대로템_2023Q1_분기보고서_20230515.pdf","DART_064350_현대로템_2023Q1_분기보고서_원문XBRL_20230515.zip","DART_064350_현대로템_2023Q1_분기보고서_재무제표_20230515.xls","True","True","True","True","True"
"반기보고서","2023H1","20230814","N","PDF_XBRL_PAIR","DART_064350_현대로템_2023H1_반기보고서_20230814.pdf","DART_064350_현대로템_2023H1_반기보고서_원문XBRL_20230814.zip","DART_064350_현대로템_2023H1_반기보고서_재무제표_20230814.xls","True","True","True","True","True"
"분기보고서","2023Q3","20231114","N","PDF_XBRL_PAIR","DART_064350_현대로템_2023Q3_분기보고서_20231114.pdf","DART_064350_현대로템_2023Q3_분기보고서_원문XBRL_20231114.zip","","True","True","False","True","True"
"사업보고서","2023FY","20240320","N","PDF_XBRL_PAIR","DART_064350_현대로템_2023FY_사업보고서_20240320.pdf","DART_064350_현대로템_2023FY_사업보고서_원문XBRL_20240320.zip","","True","True","False","True","True"
"분기보고서","2024Q1","20240516","N","PDF_XBRL_PAIR","DART_064350_현대로템_2024Q1_분기보고서_20240516.pdf","DART_064350_현대로템_2024Q1_분기보고서_원문XBRL_20240516.zip","","True","True","False","True","True"
